Year,Grade,Subject,Tested_Skill,Question,Options,Correct_Answer,National_Performance,School_Performance,Explanation
2025,5,Maths,Number sense,"Which of the following represents the value of the number 74?","A) 7 x 4\nB) 10 x 7 + 4\nC) 7 + 4\nD) 70 x 4",B,65%,58%,"Students often confuse face value with place value. The 7 in 74 represents 7 tens (70)."
2025,5,Maths,Fractions,"Which of these is GREATER than 1/2?","A) 1/3\nB) 2/4\nC) 3/5\nD) 4/10",C,42%,35%,"A common misconception is that a larger denominator makes a larger fraction (thinking 1/3 > 1/2)."
2025,5,Maths,Measurement,"If a square has a perimeter of 20 cm, what is the length of one side?","A) 10 cm\nB) 5 cm\nC) 4 cm\nD) 40 cm",B,55%,48%,"Students often confuse perimeter with area or simply divide by 2 instead of 4."
2025,5,Maths,Time calculation,"A movie starts at 11:45 AM and lasts 2 hours and 30 minutes. What time does it end?","A) 1:15 PM\nB) 2:15 PM\nC) 1:45 PM\nD) 2:30 PM",B,48%,40%,"Crossing the 12:00 PM threshold is a major hurdle in elapsed time calculations."
2025,5,Maths,Data interpretation,"In a bar graph where 1 cm = 5 students, how long should a bar be to represent 25 students?","A) 25 cm\nB) 10 cm\nC) 5 cm\nD) 20 cm",C,60%,55%,"Difficulty in applying scale factors to visual representations."
2025,5,Science,States of Matter,"Which of the following is a property of a gas?","A) Fixed shape and fixed volume\nB) Fixed volume but no fixed shape\nC) No fixed shape and no fixed volume\nD) Fixed shape but no fixed volume",C,52%,45%,"Students often struggle with the 'invisible' nature of gas, thinking it has a fixed volume like liquids."
2025,5,Science,Plant Biology,"What part of the plant is responsible for making food?","A) Root\nB) Stem\nC) Leaf\nD) Flower",C,72%,65%,"While most know this, the misconception lies in thinking 'soil' is the food rather than sunlight/CO2."
2025,5,Science,Human Body,"Which type of teeth are used for tearing food like meat?","A) Incisors\nB) Canines\nC) Molars\nD) Premolars",B,58%,50%,"Functional identification of tooth types is a frequent low-performing area."
2025,5,Science,Seed Dispersal,"A seed with hooks or spines is most likely dispersed by:","A) Wind\nB) Water\nC) Animals\nD) Explosive action",C,66%,60%,"Students often guess 'Wind' for any small seed without observing the physical adaptation (hooks)."
2025,5,Science,Energy,"Which of these is a renewable source of energy?","A) Coal\nB) Petroleum\nC) Solar\nD) Natural Gas",C,75%,70%,"Common confusion between 'natural' (like gas) and 'renewable'."
